Customer Id	Master Customer Cd	Master Customer Nm	Addr1	City	State	Zip	Customer Integration Customer Class Dsc	trauma_ctr_flg	Customer Class Dsc
2155  	N0122155	GAFFNEY MEDICAL CENTER					Hospital                                	N	Hospital Customer
T4343T	N049T4343T	CARROLLTON REGIONAL MEDICAL CENTER	4343 NORTH JOSEY LANE	CARROLLTON	TX	75010	Hospital                                	N	Hospital in Region
001120	N001001120	ST MARY'S HOSPITAL	89 GENESEE STREET	ROCHESTER	NY	14611	Hospital                                	N	Hospital in Region
CEHRMC	N053CEHRMC	CEDAR HILL REGIONAL MEDICAL CENTER					Hospital                                	N	Hospital Customer
CTY032	N016CTY032	MORROW COUNTY HOSPITAL	651 W MARION RD	MOUNT GILEAD	OH	43338	Hospital                                	N	Hospital Customer
B5TREA	N020B5TREA	TREASURE VALLEY HOSPITAL	8800 WEST EMERALD	BOISE	ID	83704	Hospital                                	N	Hospital Customer
14CENT	N01814CENT	MCLAREN CENTRAL MICHIGAN	1221 SOUTH DRIVE	MT PLEASANT	MI	48858	Hospital                                	N	Hospital Customer
7151  	N0048952	SPRINGFIELD HOSPITAL					Hospital                                	N	Hospital in Region
B1HCRG	N053B1HCRG	HOLY CROSS GERMANTOWN					Hospital                                	N	Hospital Customer
11005 	N02911005	BON SECOURS DEPAUL MEDICAL CENTER	C/O BON SECOURS HEALTH SYS INC	ELLICOTT CITY	MD	21042-6758	Hospital                                	N	Hospital Customer
000   	N001B1SJOE	ST JOSEPH'S HOSPITAL HEALTH CENTER					Hospital                                	N	Hospital in Region
B0UMHC	N053B0UMHC	UNIV OF MARYLAND HOSPITAL	UNIVERSITY OF MD MEDICAL SYS	SALT LAKE CITY	UT	84131	Hospital                                	Y	Hospital Out of Region
1716  	N0041716	UMASS MEMORIAL MEDICAL CENTER-MEMORIAL	55 LAKE AVENUE NORTH	WORCESTER	MA	01655	Hospital                                	Y	Hospital in Region
000   	N049T10655	CYPRESS FAIRBANKS MEDICAL CENTER					Hospital                                	N	Hospital Customer
000   	N006E63TRI	TRI-CITY MEDICAL CENTER					Hospital                                	N	Hospital Customer
SV3769	N007SV3769	PHI SIERRA VISTA HOSPITAL AZ					Air Ambulance                           	N	Hospital Customer
11001 	N02911001	SENTARA PRINCESS ANNE HOSPITAL	C/O SENTARA NORFOLK GEN HOSP	NORFOLK	VA	23507	Hospital                                	N	Hospital Customer
000   	N038B2LOGN	LOGANSPORT MEMORIAL HOSPITAL					Hospital                                	N	Hospital Customer
000   	N011B1SMYC	SSM HEALTH SAINT MARYS HOSPITAL					Hospital                                	Y	Hospital Customer
000   	N017RS065F	FAIRVIEW MLS PROGRAM					Other                                   	N	Research Lab Customers
P01410	N021P01410	LAKE CHELAN COMMUNITY HOSPITAL	PO BOX 908	CHELAN	WA	98816	Hospital                                	N	Hospital Customer
B7WATR	N032B7WATR	WATERTOWN REGIONAL MEDICAL CENTER	WATERTOWN	NASHVILLE	TN	37228	Hospital                                	N	Hospital Customer
137   	N007AZGATE	BANNER GATEWAY MEDICAL CENTER					Hospital                                	N	Hospital in Region
LHGHBC								N	EO-Emerging Offerings
HOLLAB	N600HOLLAB	ARCLAB-HOLLAND LABORATORY	15601 CRABBS BRANCH WAY	ROCKVILLE	MD	20855	American Red Cross                      	N	RC Blood Centers
000   	N027THRRVR	THREE RIVERS MEDICAL CENTER					Hospital                                	N	Hospital Out of Region
HOPCHP	N053HOPCHP	JOHNS HOPKINS					Hospital                                	N	Hospital in Region
CRBEL 	N012CRBEL	CAROMONT REGIONAL MED CTR BELMONT					Hospital                                	N	Hospital Customer
B9GLAS	N020B9GLAS	F M DEACONESS HOSPITAL	621 THIRD STREET SOUTH	GLASGOW	MT	59230	Hospital                                	N	Hospital Customer
000   	N049T3535T	SELECT SPECIALTY HOSPITAL					Hospital                                	N	Hospital in Region
N8SPRI	N009N8SPRI	SOUTHEAST COLORADO HOSPITAL	373 E 10TH AVE	SPRINGFIELD	CO	81073	Hospital                                	N	Hospital Customer
B3LAWR	N055B3LAWR	LAWRENCE MEMORIAL HOSPITAL	PO BOX 839	WALNUT RIDGE	AR	72476	Hospital                                	N	Hospital Customer
B0HWRD	N053B0HWRD	HOWARD COUNTY GENERAL HOSPITAL-COLUMBIA	5755 CEDAR LANE	COLUMBIA	MD	21044-2912	Hospital                                	N	Hospital Customer
IRL032	N600IRL032	ARCIRL-BADGER HAWKEYE	4860 SHEBOYGAN AVENUE	MADISON	WI	53705	American Red Cross                      	N	Internal Location
000   	N040B1DECM	DECATUR MEMORIAL HOSPITAL					Hospital                                	Y	Hospital Customer
04HCCD	N01804HCCD	INSIGHT HOSPITAL AND MEDICAL CENTER COLDWATER	INSIGHT MGMT AND CONSULTING SVCS, INC.	FLINT	MI	48507	Hospital                                	N	Hospital Customer
000   	N009B4GNOA	GENOA COMMUNITY HOSPITAL					Hospital                                	N	Hospital Customer
B3NWTN	N003B3NWTN	PIEDMONT NEWTON HOSPITAL	5126 HOSPITAL DRIVE	COVINGTON	GA	30014	Hospital                                	N	Hospital Customer
001040	N024001040	BLOOMINGTON HOSPITAL	PO BOX 7175	INDIANAPOLIS	IN	46207-7175	Hospital                                	N	Hospital Customer
000   	N003B1BERR	SOUTH GEORGIA MEDICAL CENTER BERRIEN CAMPUS					Hospital                                	N	Hospital in Region
SPR   	N022SPRB	SPRINGFIELD HOSPITAL	ONE MEDICAL CENTER BLVD	CHESTER	PA	19013	Hospital                                	N	Hospital in Region
UTMADC	N049UTMADC	UTMB HEALTH ANGLETON DANBURY CAMPUS					Hospital                                	N	Hospital Customer
5431  	N0025431	AIR METHODS COLBY					Air Ambulance                           	N	Hospital Customer
ERY   	N022ERY	ERYTECH PHARMA	60 AVENUE ROCKEFELLER	LYON	BI	69008	Other                                   	N	Hospital Out of Region
IRL084	N600IRL084	ARCIRL-NORTHERN CALIFORNIA	1001 DAVIS ST	SAN LEANDRO	CA	94577	American Red Cross                      	N	Internal Location
T3560T	N049T3560T	THE CITY OF STEPHENVILLE FIRE DEPARTMENT	1301 PECAN HILL	STEPHENVILLE	TX	74601	Ground Ambulance                        	N	Hospital in Region
BENS  	N017BENS	SWIFT COUNTY-BENSON HOSPITAL	1815 WISCONSIN AVENUE	BENSON	MN	56215	Hospital                                	N	Hospital Customer
BESTJB	N006BESTJB	PROVIDENCE SAINT JOSEPH MEDICAL CENTER	PO BOX 389673	SEATTLE	WA	98138-9673	Hospital                                	Y	Hospital Customer
UCZION	N084UCZION	UCSF MT ZION	1600 DIVISIDERO AVENUE	SAN FRANCISCO	CA	94115	Hospital                                	N	Hospital Customer
B6MADM	N011B6MADM	MADISON MEDICAL CENTER	611 WEST MAIN STREET	FREDERICKTOWN	MO	63645-1111	Hospital                                	N	Hospital Customer
B2MARG	N001B2MARG	MARGARETVILLE MEMORIAL HOSPITAL	741 GRANT AVENUE	LAKE KATRINE	NY	12449	Hospital                                	N	Hospital in Region
R1WDRY	N013R1WDRY	ANTI-INFECTIVE RESEARCH	WAYNE STATE UNIVERSITY	DETROIT	MI	48202	Commercial / Residential                	N	Hospital Customer
C00050	N042C00050	SUMMA AKRON CITY HOSPITAL	SUMMA HEALTH	AKRON	OH	44309	Hospital                                	N	Hospital Customer
000   	N600RECONR	RECON RBC-SEE DONATION ASSOC REMARKS					Waste / Disposal                        	N	Destruction Customer
000   	N055B1HART	AR MED, LLC					Hospital                                	N	Hospital Customer
B7CTCA	N003B7CTCA	CTCA - CITY OF HOPE ATLANTA	600 CELEBRATE LIFE PARKWAY	NEWNAN	GA	30265	Hospital                                	N	Hospital Customer
NNJHAC	N022NNJHAC	HACKENSACK MERIDIAN HEALTH HEART AND VASCULAR HOSPITAL	PO BOX 31235	SALT LAKE CITY	UT	84131	Hospital                                	Y	Hospital Out of Region
B1DOCL	N006B1DOCL	UCI HEALTH - LAKEWOOD	PO BOX 928	CHESTERTON	IN	46304	Hospital                                	N	Hospital Customer
000   	N049T0016T	EDINBURG REGIONAL MEDICAL CENTER					Hospital                                	N	Hospital in Region
000   	N041A40506	FLORALA MEMORIAL HOSPITAL					Hospital                                	N	Hospital Customer
C00018	N042C00018	MARYMOUNT HOSPITAL	6801 BRECKSVILLE ROAD	INDEPENDENCE	OH	44131	Hospital                                	N	Hospital Customer
009290	N024009290	TWIN LAKES REGIONAL MEDICAL CENTER	910 WALLACE AVENUE	LEITCHFIELD	KY	42754	Hospital                                	N	Hospital Customer
000   	N049BAYJHP	JH-BAYLOR ST LUKES MEDICAL CTR					Other                                   	N	Hospital Customer
5227  	N0045227	WALDO COUNTY GENERAL HOSPITAL	PO BOX 287	BELFAST	ME	04915	Hospital                                	N	Hospital in Region
DHFDL1	N088RZCDHS	STATE OF CA DEPARTMENT OF HEALTH	850 MARINA BAY PARKWAY	RICHMOND	CA	94804	Other                                   	N	EO-Emerging Offerings
000   								Y	
051500	N019051500	HCA HEALTH SERVICES OF TENNESSEE, INC	245-B GREAT CIRCLE RD	NASHVILLE	TN	37228	Hospital                                	N	Hospital Customer
B5DMM 	N084B5DMM	DOCTORS HOSPITAL OF MANTECA	PO BOX 921	CHESTERTON	IN	46304	Hospital                                	N	Hospital Customer
HANEC 	N029HANEC	HCA-HANOVER EMERGENCY CENTER	9275 CHAMBERLAYNE ROAD	MECHANICSVILLE	VA	23116	Hospital                                	N	Hospital Customer
B1PRNE	N036B1PRNE	MUSC HEALTH COLUMBIA MEDICAL CENTER NORTHEAST	120 GATEWAY CORPORATE BLVD	COLUMBIA	SC	29203	Hospital                                	N	Hospital Customer
271   	N011271	COMMUNITY BLOOD CENTER-NAPLES	1100 IMMOKALLE RD	NAPLES	FL	34110	Non RC Blood Center                     	N	Hospital Customer
000   	N017RSECMO	U OF M DEPT OF PED-ECMO					Other                                   	N	Researchers
000   	N020S98EVA	EVANSTON REGIONAL HOSPITAL					Hospital                                	N	Hospital Customer
000301	N007000301	ENCOMPASS REHABILITATION INSTITUTE OF SOUTHERN ARIZONA	1921 W HOSPITAL DRIVE	TUCSON	AZ	85704	Hospital                                	N	Hospital Customer
B1MONT	N053B1MONT	MONTGOMERY GENERAL HOSPITAL	MEDSTAR HEALTH	BALTIMORE	MD	21236	Hospital                                	N	Hospital Customer
B6MCCK	N009B6MCCK	COMMUNITY HOSPITAL-MCCOOK	1301 EAST H STREET	MCCOOK	NE	69001	Hospital                                	N	Hospital Customer
B1PGHC	N053B1PGHC	UM PRINCE GEORGES HOSPITAL CENTER	3001 HOSPITAL DRIVE	CHEVERLY	MD	20785	Hospital                                	Y	Hospital Customer
B1CHNE	N011B1CHNE	CHRISTIAN HOSPITAL	11133 DUNN ROAD	SAINT LOUIS	MO	63136	Hospital                                	N	Hospital Customer
00047D	N04900047D	JANE PHILLIPS NOWATA HEALTH	ASCENSION HEALTH MSC	INDIANAPOLIS	IN	46203	Hospital                                	N	Hospital Out of Region
B1GCOH	N013B1GCOH	GARDEN CITY HOSPITAL	6245 NORTH INKSTER ROAD	GARDEN CITY	MI	48135	Hospital                                	N	Hospital Customer
B4KOSC	N038B4KOSC	KOSCIUSKO COMMUNITY HOSPITAL	PO BOX 11748	FORT WAYNE	IN	46860	Hospital                                	N	Hospital Customer
SBTBBY	N088SBTBBY	SEXTON BIOTECHNOLOGIES					Other                                   	N	EO-Hub Accts
000   	N600IRL002	ARCIRL-CENTRAL PLAINS					American Red Cross                      	N	Internal Location
1110  	N0031110	CLINCH MEMORIAL HOSPITAL					Hospital                                	N	Hospital Customer
B0SHER	N040B0SHER	ADVOCATE SHERMAN HOSPITAL	1425 N RANDALL RD	ELGIN	IL	60123	Hospital                                	Y	Hospital Customer
B1BATH	N035B1BATH	BATH CO COMMUNITY HOSPITAL	106 PARK DRIVE	HOT SPRINGS	VA	24445	Hospital                                	N	Hospital Customer
164   	N021164	INLAND NORTHWEST BLOOD CENTER	210 WEST CATALDO	SPOKANE	WA	99210	Non RC Blood Center                     	N	Community Blood Bank
BHMCOB	N003BHMCOB	BROWARD HEALTH MEDICAL CENTER					Hospital                                	N	Hospital Customer
6603  	N0176603	AIR METHODS BLACK HILLS LIFE FLIGHT - ROTARY WING					Air Ambulance                           	N	Hospital Customer
BZPKVW	N006BZPKVW	DOCTORS HOSPITAL OF RIVERSIDE	3865 JACKSON ST	RIVERSIDE	CA	92503	Hospital                                	N	Hospital Customer
000   	N022CBS	COMMUNITY BLOOD SERVICES					Non RC Blood Center                     	N	Hospital Customer
B1COMG	N001B1COMG	SUNY UPSTATE UNIV HOSP COMMUNITY CAMPUS	4900 BROAD ROAD	SYRACUSE	NY	13215	Hospital                                	N	Hospital in Region
001450	N024001450	DAVIESS COUNTY HOSPITAL					Hospital                                	N	Hospital Customer
051850	N019051850	SUMNER REGIONAL HOSPITAL-HARTSVILLE PK	C/O LPNT	NASHVILLE	TN	37228	Hospital                                	N	Hospital in Region
AHOB  	N003AHOB	ADVENTHEALTH ORLANDO					Hospital                                	N	Hospital in Region
000   	N003B6PMID	PIEDMONT COLUMBUS REGIONAL MIDTOWN HOSP					Hospital                                	Y	Hospital Customer
20011 	N02920011	ECU HEALTH ROANOKE-CHOWAN HOSPITAL	500 SOUTH ACADEMY STREET	AHOSKIE	NC	27910	Hospital                                	N	Hospital Customer
000   	N007UNMJHP	JH-UNIVERSITY OF NEW MEXICO					Other                                   	N	Hospital Customer
2475  	N0122475	PERSON COUNTY MEMORIAL HOSP	615 RIDGE ROAD	ROXBORO	NC	27573	Hospital                                	N	Hospital Customer
000115	N007000115	CANYON VISTA MEDICAL CENTER	5700 E HWY 90	SIERRA VISTA	AZ	85635-9110	Hospital                                	N	Hospital Customer
C00064	N042C00064	LAKE HEALTH-WEST MEDICAL CENTER	36000 EUCLID AVE	WILLOUGHBY	OH	44094	Hospital                                	N	Hospital Customer
LICH  	N017LICH	MEEKER MEMORIAL HOSPITAL & CLINICS	612 S SIBLEY AVENUE	LITCHFIELD	MN	55355	Hospital                                	N	Hospital Customer
IRL053	N600IRL053	ARCIRL-GREATER CHESAPEAKE & POTOMAC	4700 MOUNT HOPE DRIVE	BALTIMORE	MD	21215	American Red Cross                      	N	Internal Location
000   	N006248	UNITED BLOOD SERVICES					Non RC Blood Center                     	N	Hospital Customer
013402	N049013402	ST JOHN REHABILITATION HOSPITAL - OWASSO					Hospital                                	N	Hospital Customer
VCI   	N029VCI	VIRGINIA CANCER INSTITUTE	7202 GLEN FOREST DRIVE	RICHMOND	VA	23226	Other                                   	N	Hospital Customer
B1TOLH	N050B1TOLH	PROMEDICA TOLEDO HOSPITAL	MSC-J48714	TOLEDO	OH	43604	Hospital                                	Y	Hospital Customer
B1PRWM	N053B1PRWM	UVA PRINCE WILLIAM HOSPITAL	8700 SUDLEY RD	MANASSAS	VA	20110	Hospital                                	N	Hospital Customer
038140	N019038140	ST THOMAS RUTHERFORD HOSPITAL	400 N HIGHLAND	MURFREESBORO	TN	37130	Hospital                                	Y	Hospital Customer
000   	N04900067D	CLAREMORE INDIAN HOSPITAL					Government                              	N	Hospital Customer
000   	N022IRIBTS	IRISH BLOOD TRANSFUSION SERCVICE					Non RC Blood Center                     	N	Non RC Blood Centers
000   	N002B12441	MERCY HOSPITAL FT SCOTT					Hospital                                	N	Hospital Customer
BIGEMC	N006BIGEMC	GREATER EL MONTE COMMUNITY HOSPITAL	1701 SANTA ANITA AVENUE	SOUTH EL MONTE	CA	91733	Hospital                                	N	Hospital Customer
B8HSTR	N011B8HSTR	HARRY S TRUMAN VA HOSPITAL	VAFSC	AUSTIN	TX	78714-9971	Government                              	N	Hospital Customer
B0COMC	N040B0COMC	ADVOCATE CONDELL MEDICAL CENTER	801 S MILWAUKEE AVENUE	LIBERTYVILLE	IL	60048	Hospital                                	Y	Hospital Customer
P00034	N021P00034	WILLAMETTE VALLEY MED CTR	LIFEPOINT	BRENTWOOD	TN	37024	Hospital                                	N	Hospital in Region
000   	N017MMED	MMED MEDICAL					Other                                   	N	Hospital Customer
B1NHHM	N053B1NHHM	UVA HAYMARKET MEDICAL CENTER	15225 HEATHCOTE BOULEVARD	HAYMARKET	VA	20169	Hospital                                	N	Hospital Customer
B1GAMA	N054B1GAMA	MANATI MEDICAL CENTER	PO BOX 1142	MANATI	PR	00674	Hospital                                	N	Hospital Customer
S98MWM	N020S98MWM	MOUNTAIN WEST MEDICAL CENTER	2055 NORTH MAIN STREET	TOOELE	UT	84074	Hospital                                	N	Hospital Customer
2465  	N0122465	PENDER MEMORIAL HOSPITAL					Hospital                                	N	Hospital Customer
2470  	N0122470	ANNIE PENN HOSPITAL	618 S MAIN STREET	REIDSVILLE	NC	27320	Hospital                                	Y	Hospital Customer
9013  	N0049013	SOUTH-BOSTON MEDICAL CENTER					Hospital                                	N	Hospital Customer
20040 	N02920040	MARTIN GENERAL HOSPITAL	PO BOX 1128	WILLIAMSTON	NC	27892	Hospital                                	N	Hospital Customer
00098D	N04900098D	BAILEY MEDICAL CENTER	110 WEST 7TH ST SUITE 2530	TULSA	OK	74119	Hospital                                	N	Hospital Out of Region
B17001	N030B17001	UPMC LOCK HAVEN HOSPITAL	4TH AND NELSON STREETS	LOCK HAVEN	PA	17745	Hospital                                	N	Hospital in Region
000   	N022XEA	NORTH HAMPTON HOSPITAL COMPANY					Hospital                                	N	Hospital Customer
7007  	N0337007	CHARLOTTE HUNGERFORD HOSPITAL					Hospital                                	N	Hospital in Region
COL008	N016COL008	GRANT MEDICAL CENTER	3535 OLENTANGY RIVER RD	COLUMBUS	OH	43214	Hospital                                	Y	Hospital Customer
IRL012	N600IRL012	ARCIRL-CAROLINAS-CHARLOTTE	2425 PARK ROAD	CHARLOTTE	NC	28203	American Red Cross                      	N	Internal Location
1015  	N0049015	CARNEY HOSPITAL	STEWARD HEALTH CARE SYS LLC	RICHARDSON	TX	75080	Hospital                                	N	Hospital in Region
CTY028	N016CTY028	MARION GENERAL HOSPITAL	1000 MCKINLEY PARK DR	MARION	OH	43302	Hospital                                	N	Hospital Customer
BMSMON	N006BMSMON	UCLA MEDICAL CENTER, SANTA MONICA	BOX 951676	LOS ANGELES	CA	90095	Hospital                                	N	Hospital Customer
STUBLB	N084STUBLB	BERTOZZI LAB - STANFORD UNIVERSITY	STANFORD UNIVERSITY ACCOUNTS PAYABLE	STANFORD	CA	94309	Other                                   	N	Hospital Customer
NNJBAY	N022NNJBAY	BAYONNE HOSPITAL	29TH STREET AT AVENUE E	BAYONNE	NJ	07002	Hospital                                	N	Hospital Out of Region
000440	N024000440	DOWNTOWN NORTON	200 EAST CHESTNUT STREET	LOUISVILLE	KY	40202	Hospital                                	Y	Hospital Customer
000   	N088R0PROG	PROGENRA INC					Other                                   	N	EO-Hub Accts
000   	N013B3MOSH	MICHIGAN ORTHOPAEDIC SPECIALTY HOSPITAL					Hospital                                	N	Hospital in Region
T8220J	N049T8220J	HOUSTON METHODIST WILLOWBROOK HOSPITAL	18220 TOMBALL PARKWAY (249)	HOUSTON	TX	77070	Hospital                                	N	Hospital in Region
000   	N038B7STFR	FRANCISCAN ST FRANCIS HEALTH					Hospital                                	N	Hospital Customer
000   	N053GLKKI	GENETICS LAB KENNEDY KRIEGER INSTITUTE					Other                                   	N	Researchers
MOTC  	N017MOTC	CENTRACARE HEALTH-MONTICELLO	1406 6TH AVE NORTH	SAINT CLOUD	MN	56303	Hospital                                	N	Hospital in Region
2370  	N0122370	DUKE HEALTH LAKE NORMAN HOSPITAL	171 FAIRVIEW ROAD	MOORESVILLE	NC	28117	Hospital                                	N	Hospital Customer
A10030	N041A10030	NORTH MISSISSIPPI HEALTH SERVICES - SOUTH MARION	1530 HWY 43	WINFIELD	AL	35594	Hospital                                	N	Hospital Customer
S0WARR	N027S0WARR	WARREN MEMORIAL HOSPITAL	VALLEY HEALTH	WINCHESTER	VA	22604	Hospital                                	N	Hospital in Region
B6DELT	N011B6DELT	MISSOURI DELTA MEDICAL CENTER	1008 NORTH MAIN STREET	SIKESTON	MO	63801-5099	Hospital                                	N	Hospital Customer
WSCL  	N088WSCL	WI STATE CRIME LAB-MILWAUKEE	1578 SOUTH 11TH STREET	MILWAUKEE	WI	53204	Other                                   	N	EO-Hub Accts
SYRUBC	N001SYRUBC	SYRACUSE UNIVERSITY					Hospital                                	N	EO-Emerging Offerings
B14683	N002B14683	STANTON COUNTY HOSPITAL	404 N CHESTNUT	JOHNSON	KS	67855	Hospital                                	N	Hospital Customer
058600	N019058600	VETERANS ADMINISTRATION - MURFREESBORO	VA TVHS	NASHVILLE	TN	37212	Government                              	N	Hospital Customer
000   	N038B1PULA	PULASKI MEMORIAL HOSPITAL					Hospital                                	N	Hospital Customer
1541  	N0041541	LONG ISLAND JEWISH MEDICAL CENTER					Hospital                                	N	Hospital Out of Region
B0BLCO	N053B0BLCO	LIFEBRIDGE-NORTHWEST HOSPITAL CTR	2401 W BELVEDERE AVENUE	BALTIMORE	MD	21215	Hospital                                	N	Hospital Customer
000   	N017RS186F	DEPARTMENT OF ENTOMOLOGY					Other                                   	N	Research Lab Customers
000   	N055B2BMCA	BAPTIST HEALTH MEDICAL CENTER ARKADELPHIA					Hospital                                	N	Hospital Customer
000   	N022PAITRM	INSTITUTE FOR TRANSFUSION MEDICINE					Hospital                                	N	Commercial Labs
B2MAGR	N050B2MAGR	MAGRUDER HOSPITAL	615 FULTON STREET	PORT CLINTON	OH	43452	Hospital                                	N	Hospital Customer
MRHFL 	N003MRHFL	MEMORIAL REGIONAL HOSPITAL					Hospital                                	N	Hospital Customer
000   	N055B5DARD	RIVER VALLEY MEDICAL CENTER					Hospital                                	N	Hospital Customer
1162  	N003201	ONE BLOOD CENTER	8669 COMMODITY CIRCLE	ORLANDO	FL	32819	Non RC Blood Center                     	N	Non RC Blood Centers
1304  	N0041304	BETH ISRAEL DEACONESS HOSPITAL-NEEDHAM	148 CHESTNUT ST	NEEDHAM	MA	02492	Hospital                                	N	Hospital in Region
B6WHIT	N006B6WHIT	WHITTIER HOSPITAL MEDICAL CENTER	9080 COLIMA ROAD	WHITTIER	CA	90605-1898	Hospital                                	N	Hospital Customer
RESMC 	N040RESMC	RESURRECTION MEDICAL CENTER					Hospital                                	N	Hospital Customer
033800	N019033800	LIVINGSTON HOSPITAL HEALTH SVC	131 HOSPITAL DR	SALEM	KY	42078	Hospital                                	N	Hospital Customer
2140  	N0122140	ATRIUM HEALTH CAROLINAS MEDICAL CENTER	PO BOX 5379	PORTLAND	OR	97228-5379	Hospital                                	Y	Hospital Customer
DEB   	N022DEB	DEBORAH HEART AND LUNG CENTER	200 TRENTON ROAD	BROWNS MILLS	NJ	08015	Hospital                                	N	Hospital in Region
7100  	N0047100	BRATTLEBORO MEMORIAL HOSPITAL	17 BELMONT AVENUE	BRATTLEBORO	VT	05301	Hospital                                	N	Hospital in Region
9002  	N0079002	AIR METHODS EL PASO					Air Ambulance                           	N	Hospital Customer
NNJOVE	N022NNJOVE	OVERLOOK MEDICAL CENTER	99 BEAUVIOR AVE	SUMMIT	NJ	07901	Hospital                                	N	Hospital Customer
8931  	N0047128	UNIVERSITY OF VERMONT MEDICAL CENTER					Hospital                                	Y	Hospital Out of Region
C00001	N042C00001	AVON HOSPITAL					Hospital                                	N	Hospital in Region
000   	N003B4NHOL	ATRIUM HEALTH BALDWIN					Hospital                                	N	Hospital Customer
5211  	N0045211	NORTHERN LIGHT AR GOULD HOSPITAL	140 ACADEMY STREET	PRESQUE ISLE	ME	04769	Hospital                                	N	Hospital in Region
B1NFMM	N001B1NFMM	NIAGARA FALLS MEMORIAL MED CTR	621 TENTH STREET	NIAGARA FALLS	NY	14302	Hospital                                	N	Hospital in Region
2494  	N0122494	NOVANT HEALTH MATTHEWS MEDICAL CENTER					Hospital                                	N	Hospital Customer
MBCBBY	N017177	MEMORIAL BLOOD CENTERS OF MINNEAPOLIS					Non RC Blood Center                     	N	EO-Hub Accts
B6ORDD	N009B6ORDD	VALLEY COUNTY HEALTH SYSTEM	2707 L STREET	ORD	NE	68862-1275	Hospital                                	N	Hospital Customer
B7MWMC	N032B7MWMC	MERCY WALWORTH HOSP & MEDICAL CENTER	PO BOX 2500	JANESVILLE	WI	53547-2500	Hospital                                	N	Hospital in Region
000   	N038B7SVAN	SAINT VINCENT ANDERSON REGIONAL HOSPITAL					Hospital                                	N	Hospital in Region
001320	N024001320	BAPTIST HEALTH FLOYD	1850 STATE STREET	NEW ALBANY	IN	47150	Hospital                                	N	Hospital Customer
OSCE  	N017OSCE	OSCEOLA MEDICAL CENTER	PO BOX 218	OSCEOLA	WI	54020	Hospital                                	N	Hospital Customer
STJM  	N017STJM	SAINT JAMES MEDICAL CENTER MAYO HEALTH SYSTEM	1101 MOULTON & PARSONS DR	SAINT JAMES	MN	56081	Hospital                                	N	Hospital Customer
B2AHEP	N001B2AHEP	NORTH STAR HEALTH ALLIANCE CLAXTON HEPBURN MEDICAL CAMPUS	NORTH STAR HEALTH ALLIANCE	OGDENSBURG	NY	13669	Hospital                                	N	Hospital in Region
024   	N024024	ARCBS-RIVER VALLEY REGION	520 EAST CHESTNUT STREET	LOUISVILLE	KY	40202	American Red Cross                      	N	RC Blood Centers
B9BHLN	N066B9BHLN	BENEFIS HOSPITALS-HELENA	1101 26TH STREET SOUTH	GREAT FALLS	MT	59405	Hospital                                	N	Hospital Customer
B8MINL	N020B8MINL	MINERAL COMMUNITY HOSPITAL	1208 6TH AVE E	SUPERIOR	MT	59872	Hospital                                	N	Hospital Customer
B15150	N002B15150	PAWNEE VALLEY COMMUNITY HOSPITAL	923 CARROLL AVE	LARNED	KS	67550	Hospital                                	N	Hospital Customer
7358  	N0047358	MONADNOCK COMMUNITY HOSPITAL					Hospital                                	N	Hospital in Region
P00104	N021P00104	KAISER SUNNYSIDE HOSPITAL	10180 SE SUNNYSIDE ROAD	CLACKAMAS	OR	97015	Hospital                                	N	Hospital Customer
S98EVA	N020S98EVA	EVANSTON REGIONAL HOSPITAL	190 ARROWHEAD DRIVE	EVANSTON	WY	82930	Hospital                                	N	Hospital Customer
1150  	N0031150	WAYNE MEMORIAL HOSPITAL	PO BOX 408	JESUP	GA	31598	Hospital                                	N	Hospital Customer
1151  	N0031151	LOWER OCONEE COMMUNITY HOSPITAL					Hospital                                	N	Hospital Customer
000   	N011R1MILL	MILLER MEMORIAL-BETHLEHEM					Hospital                                	N	Hospital Customer
R20011	N041R20011	UAB	901 19TH STREET SOUTH	BIRMINGHAM	AL	35294	Hospital                                	N	Research Lab Customers
28CHWM	N01828CHWM	THE CANCER AND HEMATOLOGY CENTERS	145 MICHIGAN NE STE 3100	GRAND RAPIDS	MI	49503	Other                                   	N	Hospital Customer
210   	N004210	RHODE ISLAND BLOOD CENTER	PO BOX 9399	PROVIDENCE	RI	02940	Non RC Blood Center                     	N	Non RC Blood Centers
000   	N001B2LOCK	EASTER NIAGARA HOSPITAL-LOCKPORT					Hospital                                	N	Hospital in Region
IRL038	N600IRL038	ARCIRL-INDIANA OHIO	1212 EAST CALIFORNIA ROAD	FORT WAYNE	IN	46825	American Red Cross                      	N	Internal Location
00069D	N04900069D	HENRYETTA MEDICAL CENTER	2401 W MAIN ST	HENRYETTA	OK	74437	Hospital                                	N	Hospital Customer
CTY017	N016CTY017	MANSFIELD HOSPITAL	335 GLESSNER AVE	MANSFIELD	OH	44903	Hospital                                	Y	Hospital Customer
B6RICH	N032B6RICH	RICHLAND HOSPITAL	333 EAST SECOND STREET	RICHLAND CENTER	WI	53581	Hospital                                	N	Hospital Customer
7373  	N0047373	SPEARE MEMORIAL HOSPITAL	16 HOSPITAL ROAD	PLYMOUTH	NH	03264	Hospital                                	N	Hospital in Region
GTSB  	N017GTSB	BURNETT MEDICAL CENTER	257 W ST GEORGE	GRANTSBURG	WI	54840	Hospital                                	N	Hospital Customer
